Y11,Y12,Y13,Y21,Y22,Y23,Y31,Y32,Y33
125,169.5,160.5,127.5,140.25,163,205,205.75,363.15
133.25,135.75,178.25,160,156.5,161.25,219,228.25,195
125.75,146.75,165.25,179.75,185,223,191.75,201,227.75
147.75,179.75,153.25,189.75,180,140,166,223,247.25
143,136.5,159.75,162.75,196.75,193.5,203,217,244.25
162.5,184.25,156,186.75,167.75,171.25,163.75,207.5,202.5
161,160.25,148.5,154,165.5,190.75,224.5,205.5,212
127.5,139.25,160.25,151.5,170.75,194.75,262.75,193.25,234.25
126.5,160.75,168,157,177.75,151.5,,215.5,
134.25,152.25,159.25,167,199.5,166.75,,,
151,155.25,167.5,178,178.75,177.25,,,
142.25,145.25,156.75,156.75,177.5,218.5,,,
145.75,153,154.75,161.75,156.25,209.25,,,
157.75,154.5,179,150.25,155.5,176.75,,,
136.25,162.5,173.25,148.25,158,195.75,,,
131.5,155.25,159.75,168.75,171.25,172.75,,,
133.5,174.5,151.25,148,168.5,205.25,,,
161.75,159.25,182.5,170.75,150,168.25,,,
152.25,149.25,146,157.75,187.25,184.25,,,
137.25,165.25,158.25,167,177,175.5,,,
154.25,154.5,184.75,183.5,168,176.25,,,
151.25,,143.75,183.75,172.75,168,,,
118.5,,176.75,152.25,179.75,171.75,,,
140.5,,176,167,173.25,177.25,,,
125.25,,167.25,179,180.5,167.5,,,
,,176,181.5,187.75,185.25,,,
,,196,166.25,168.25,200.5,,,
,,188.75,,219.15,241.25,,,
,,164.25,,201.25,182.25,,,
,,152.75,,200.5,168.25,,,
,,198.25,,181,199.25,,,
,,160.75,,186,192.5,,,
,,182,,206.5,226.75,,,
,,191,,148.75,175.25,,,
,,184,,177,173.75,,,
,,186.25,,178.25,210.5,,,
,,184.25,,202.25,197,,,
,,216,,170.75,198,,,
,,188.15,,183.25,218.75,,,
,,,,,187.5,,,
,,,,,224.75,,,
,,,,,191.5,,,
,,,,,230,,,
,,,,,202.25,,,
,,,,,190.25,,,
,,,,,208.5,,,
,,,,,177.25,,,
,,,,,162.75,,,
,,,,,208.75,,,
,,,,,172.75,,,
,,,,,192.25,,,
,,,,,197,,,
,,,,,216,,,
,,,,,211.75,,,
,,,,,200.25,,,
,,,,,200.25,,,
,,,,,198.5,,,
,,,,,217,,,
,,,,,196.75,,,
,,,,,191,,,
,,,,,187.75,,,
,,,,,170.5,,,
,,,,,203.25,,,
,,,,,232.75,,,
,,,,,198.5,,,
,,,,,219.25,,,
,,,,,234.75,,,
,,,,,241.75,,,
,,,,,216.25,,,
,,,,,206.5,,,
,,,,,210.25,,,
,,,,,224.75,,,
,,,,,212.75,,,
,,,,,171.5,,,
,,,,,194,,,
,,,,,224.5,,,
